CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0067,0.9998568226542572
C0001,C0108,0.9998228877015678
C0001,C0039,0.9993963240589054
C0002,C0076,0.9988418698481939
C0002,C0194,0.9982453128540851
C0002,C0031,0.9979051407181809
C0003,C0052,0.9993047059601216
C0003,C0125,0.999256444850512
C0003,C0167,0.9958113787276492
C0004,C0056,0.9999071291992578
C0004,C0156,0.9998799888878275
C0004,C0101,0.9997195631900901
C0005,C0070,0.9998052957880555
C0005,C0135,0.9997902822106903
C0005,C0036,0.9990778260806764
C0006,C0114,0.9984504762789423
C0006,C0170,0.998155662165423
C0006,C0148,0.9971347480604354
C0007,C0182,0.9995443159040824
C0007,C0074,0.9975776509001774
C0007,C0120,0.9970767846519589
C0008,C0098,0.9997023463680063
C0008,C0084,0.9981218686959945
C0008,C0088,0.9980691628150319
C0009,C0025,0.9962820706212705
C0009,C0121,0.9928601959609927
C0009,C0043,0.9920986872039059
C0010,C0034,0.99903724465796
C0010,C0024,0.9989348959514797
C0010,C0116,0.998813831446811
C0011,C0197,0.9999675860494199
C0011,C0099,0.9998182092894952
C0011,C0028,0.9996175663265473
C0012,C0068,0.9999334213760557
C0012,C0165,0.999836322294395
C0012,C0065,0.9996375303473498
C0013,C0059,0.999973191924291
C0013,C0023,0.9998975012493663
C0013,C0061,0.9997718499988821
C0014,C0058,0.9999590786834424
C0014,C0033,0.9999083831715441
C0014,C0097,0.9998629448262669
C0015,C0112,0.9989718745260988
C0015,C0198,0.9983078901583389
C0015,C0176,0.997826449015865
C0016,C0183,0.9998970614663466
C0016,C0132,0.9993580056365137
C0016,C0053,0.9986029119886638
C0017,C0038,0.9999493587075683
C0017,C0175,0.9999275668724747
C0017,C0113,0.9999011897752841
C0018,C0158,0.9996846644202556
C0018,C0085,0.999565364601227
C0018,C0129,0.9988816522917666
C0019,C0172,0.9979553190086189
C0019,C0139,0.9966873921915025
C0019,C0116,0.9957419653026269
C0020,C0110,0.9999898731715687
C0020,C0150,0.9999721900495284
C0020,C0130,0.9999673131895195
